Saturday , S600,4040,600 - 31,11:45,BelRed Station,East,99564
Saturday , S600,4040,600 - 31,11:49,Overlake Village Station,East,99566
Saturday , S600,4040,600 - 31,11:52,Redmond Technology Station,East,99568
Saturday , S600,4046,600 - 31,12:32,South Bellevue Station,East,99554
Saturday , S600,4046,600 - 31,12:36,East Main Station,East,99556
Saturday , S600,4046,600 - 31,12:39,Bellevue Downtown Station,East,99558
Saturday , S600,4046,600 - 31,12:41,Wilburton Station,East,99560
Saturday , S600,4046,600 - 31,12:43,Spring District Station,East,99562
Saturday , S600,4046,600 - 31,12:45,BelRed Station,East,99564
Saturday , S600,4046,600 - 31,12:49,Overlake Village Station,East,99566
Saturday , S600,4046,600 - 31,12:52,Redmond Technology Station,East,99568
Saturday , S600,4052,600 - 31,13:32,South Bellevue Station,East,99554
Saturday , S600,4052,600 - 31,13:36,East Main Station,East,99556
Saturday , S600,4052,600 - 31,13:39,Bellevue Downtown Station,East,99558
Saturday , S600,4052,600 - 31,13:41,Wilburton Station,East,99560
Saturday , S600,4052,600 - 31,13:43,Spring District Station,East,99562
Saturday , S600,4052,600 - 31,13:45,BelRed Station,East,99564
Saturday , S600,4052,600 - 31,13:49,Overlake Village Station,East,99566
Saturday , S600,4052,600 - 31,13:52,Redmond Technology Station,East,99568
Saturday , S600,4058,600 - 31,14:32,South Bellevue Station,East,99554
Saturday , S600,4058,600 - 31,14:36,East Main Station,East,99556
Saturday , S600,4058,600 - 31,14:39,Bellevue Downtown Station,East,99558
Saturday , S600,4058,600 - 31,14:41,Wilburton Station,East,99560
Saturday , S600,4058,600 - 31,14:43,Spring District Station,East,99562
Saturday , S600,4058,600 - 31,14:45,BelRed Station,East,99564
Saturday , S600,4058,600 - 31,14:49,Overlake Village Station,East,99566
Saturday , S600,4058,600 - 31,14:52,Redmond Technology Station,East,99568
Saturday , S600,4064,600 - 31,15:32,South Bellevue Station,East,99554
Saturday , S600,4064,600 - 31,15:36,East Main Station,East,99556
Saturday , S600,4064,600 - 31,15:39,Bellevue Downtown Station,East,99558
Saturday , S600,4064,600 - 31,15:41,Wilburton Station,East,99560
Saturday , S600,4064,600 - 31,15:43,Spring District Station,East,99562
Saturday , S600,4064,600 - 31,15:45,BelRed Station,East,99564
Saturday , S600,4064,600 - 31,15:49,Overlake Village Station,East,99566
Saturday , S600,4064,600 - 31,15:52,Redmond Technology Station,East,99568
Saturday , S600,4070,600 - 31,16:32,South Bellevue Station,East,99554
Saturday , S600,4070,600 - 31,16:36,East Main Station,East,99556
Saturday , S600,4070,600 - 31,16:39,Bellevue Downtown Station,East,99558
Saturday , S600,4070,600 - 31,16:41,Wilburton Station,East,99560
Saturday , S600,4070,600 - 31,16:43,Spring District Station,East,99562
Saturday , S600,4070,600 - 31,16:45,BelRed Station,East,99564
Saturday , S600,4070,600 - 31,16:49,Overlake Village Station,East,99566
Saturday , S600,4070,600 - 31,16:52,Redmond Technology Station,East,99568
Saturday , S600,4076,600 - 31,17:32,South Bellevue Station,East,99554
Saturday , S600,4076,600 - 31,17:36,East Main Station,East,99556
Saturday , S600,4076,600 - 31,17:39,Bellevue Downtown Station,East,99558
Saturday , S600,4076,600 - 31,17:41,Wilburton Station,East,99560
Saturday , S600,4076,600 - 31,17:43,Spring District Station,East,99562
Saturday , S600,4076,600 - 31,17:45,BelRed Station,East,99564
Saturday , S600,4076,600 - 31,17:49,Overlake Village Station,East,99566
Saturday , S600,4076,600 - 31,17:52,Redmond Technology Station,East,99568
Saturday , S600,4082,600 - 31,18:32,South Bellevue Station,East,99554
Saturday , S600,4082,600 - 31,18:36,East Main Station,East,99556
Saturday , S600,4082,600 - 31,18:39,Bellevue Downtown Station,East,99558
Saturday , S600,4082,600 - 31,18:41,Wilburton Station,East,99560
Saturday , S600,4082,600 - 31,18:43,Spring District Station,East,99562
Saturday , S600,4082,600 - 31,18:45,BelRed Station,East,99564
Saturday , S600,4082,600 - 31,18:49,Overlake Village Station,East,99566
Saturday , S600,4082,600 - 31,18:52,Redmond Technology Station,East,99568
Saturday , S600,4088,600 - 31,19:32,South Bellevue Station,East,99554
Saturday , S600,4088,600 - 31,19:36,East Main Station,East,99556
Saturday , S600,4088,600 - 31,19:39,Bellevue Downtown Station,East,99558
Saturday , S600,4088,600 - 31,19:41,Wilburton Station,East,99560
Saturday , S600,4088,600 - 31,19:43,Spring District Station,East,99562
Saturday , S600,4088,600 - 31,19:45,BelRed Station,East,99564
Saturday , S600,4088,600 - 31,19:49,Overlake Village Station,East,99566
Saturday , S600,4088,600 - 31,19:52,Redmond Technology Station,East,99568
Saturday , S600,4094,600 - 31,20:32,South Bellevue Station,East,99554
Saturday , S600,4094,600 - 31,20:36,East Main Station,East,99556
Saturday , S600,4094,600 - 31,20:39,Bellevue Downtown Station,East,99558
Saturday , S600,4094,600 - 31,20:41,Wilburton Station,East,99560
Saturday , S600,4094,600 - 31,20:43,Spring District Station,East,99562
Saturday , S600,4094,600 - 31,20:45,BelRed Station,East,99564
Saturday , S600,4094,600 - 31,20:49,Overlake Village Station,East,99566
Saturday , S600,4094,600 - 31,20:52,Redmond Technology Station,East,99568
Saturday , S600,4100,600 - 31,21:32,South Bellevue Station,East,99554
Saturday , S600,4100,600 - 31,21:36,East Main Station,East,99556
Saturday , S600,4100,600 - 31,21:39,Bellevue Downtown Station,East,99558
