service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Saturday ,  577,    6629,   16011,20,15   ,Federal Way TC - Bay 7,FedW7,          1,North
Saturday ,  577,    6629,   16011,20,39   ,4thAv/Univ,4Univ,          2,North
Saturday ,  577,    6629,   16011,20,41   ,4th and Pine St,4pine,          3,North
Saturday ,  577,    6629,   16011,20,45   ,Howell/9th,oliv7,          4,North
Saturday ,  577,    6629,   16011,20,47   ,Eastlake/Stewart,eastst,          5,North
Saturday ,  577,    6643,   16023,12,13   ,Fairview Ave and Thomas St,fvthom,          1,South
Saturday ,  577,    6643,   16023,12,17   ,Stewart/9th,9stew,          2,South
Saturday ,  577,    6643,   16023,12,23   ,2Av/Pike,2pike,          3,South
Saturday ,  577,    6643,   16023,12,28   ,2AvExt/Jackson,2jack,          4,South
Saturday ,  577,    6643,   16023,13,06   ,Federal Way TC - Bay 2,Fedwy,          5,South
Saturday ,  577,    6623,   16023,17,15   ,Federal Way TC - Bay 7,FedW7,          1,North
Saturday ,  577,    6623,   16023,17,40   ,4thAv/Univ,4Univ,          2,North
Saturday ,  577,    6623,   16023,17,42   ,4th and Pine St,4pine,          3,North
Saturday ,  577,    6623,   16023,17,46   ,Howell/9th,oliv7,          4,North
Saturday ,  577,    6623,   16023,17,48   ,Eastlake/Stewart,eastst,          5,North
Saturday ,  577,    6641,   16009,11,13   ,Fairview Ave and Thomas St,fvthom,          1,South
Saturday ,  577,    6641,   16009,11,17   ,Stewart/9th,9stew,          2,South
Saturday ,  577,    6641,   16009,11,23   ,2Av/Pike,2pike,          3,South
Saturday ,  577,    6641,   16009,11,28   ,2AvExt/Jackson,2jack,          4,South
Saturday ,  577,    6641,   16009,12,06   ,Federal Way TC - Bay 2,Fedwy,          5,South
Saturday ,  577,    6607,   16006, 9,15   ,Federal Way TC - Bay 7,FedW7,          1,North
Saturday ,  577,    6607,   16006, 9,40   ,4thAv/Univ,4Univ,          2,North
Saturday ,  577,    6607,   16006, 9,42   ,4th and Pine St,4pine,          3,North
Saturday ,  577,    6607,   16006, 9,46   ,Howell/9th,oliv7,          4,North
Saturday ,  577,    6607,   16006, 9,48   ,Eastlake/Stewart,eastst,          5,North
Saturday ,  577,    6653,   16008,17,13   ,Fairview Ave and Thomas St,fvthom,          1,South
